EpLenMean,TimestepsSoFar,EpThisIter,ev_tdlam_before,optimgain,EpisodesSoFar,TimeElapsed,meankl,entropy,surrgain,entloss,EpRewMean,EpTrueRewMean
102.325,716097,10,0.885383203625679,0.14646757,3070,1323.9742283821106,0.0039196415,23.327631,0.14646757,0.0,526.7990853723875,526.7990853723875
100.1,719061,11,0.9362438172101974,0.27593565,3081,1329.5996251106262,0.014210276,23.325117,0.27593565,0.0,515.5117510842496,515.5117510842496
99.675,722388,12,0.8729255348443985,0.13882944,3093,1335.365119934082,0.0040531713,23.325686,0.13882944,0.0,508.82201013378364,508.82201013378364
90.225,725532,12,0.9362433403730392,0.14464247,3105,1341.0444421768188,0.0038518887,23.326006,0.14464247,0.0,463.3754477944773,463.3754477944773
90.35,728643,11,0.9289652779698372,0.29067847,3116,1346.966634273529,0.01495158,23.323977,0.29067847,0.0,464.1867825512609,464.1867825512609
92.425,731850,11,0.9068853035569191,0.1517728,3127,1352.7072417736053,0.004174986,23.322489,0.1517728,0.0,472.2337835179889,472.2337835179889
95.05,734883,10,0.9109614118933678,0.14548013,3137,1358.3957238197327,0.0038689105,23.31756,0.14548013,0.0,482.3605756042687,482.3605756042687
100.75,737868,9,0.9009184688329697,0.15658268,3146,1364.1242580413818,0.003844711,23.317404,0.15658268,0.0,510.91911238144,510.91911238144
102.85,741225,11,0.9267841726541519,0.15323132,3157,1369.7430543899536,0.004201308,23.316183,0.15323132,0.0,523.5563364434108,523.5563364434108
104.2,744354,10,0.9419201575219631,0.17881525,3167,1375.5645036697388,0.0040883753,23.31641,0.17881525,0.0,534.4547354997326,534.4547354997326
103.925,747591,11,0.9416201114654541,0.15656747,3178,1381.2010190486908,0.0041010035,23.315367,0.15656747,0.0,537.316556333562,537.316556333562
98.2,750849,11,0.9422205798327923,0.14966987,3189,1386.9078998565674,0.004264572,23.31323,0.14966987,0.0,510.0593587342231,510.0593587342231
100.875,753963,10,0.9062052592635155,0.15344533,3199,1392.5281970500946,0.0041890186,23.314857,0.15344533,0.0,524.6985249446276,524.6985249446276
98.625,756969,10,0.9012942314147949,0.14800937,3209,1398.164719581604,0.003907555,23.313498,0.14800937,0.0,508.0388483244127,508.0388483244127
101.15,760125,10,0.8872000500559807,0.1487084,3219,1403.739084482193,0.0041049216,23.312986,0.1487084,0.0,520.1820950222952,520.1820950222952
